text,label,cleaned_text
"🎉 VĒSTURISKA UZVARA!Šodien Saeima ar 70 balsīm PAR pieņēma zvēraudzēšanas aizliegumu, kas nosaka, ka pilnībā jāizbeidz dzīvnieku audzēšana kažokādām līdz 2028. gada 1. janvārim. Šie ir ietekmīgākie likuma grozījumi, kas aiztaupīs ciešanas simtiem tūkstošiem dzīvnieku ik gadu.",1,vēsturiska uzvara šodien saeima balsīm pieņēma zvēraudzēšanas aizliegumu kas nosaka pilnībā jāizbeidz dzīvnieku audzēšana kažokādām gada janvārim šie ietekmīgākie likuma grozījumi kas aiztaupīs ciešanas simtiem tūkstošiem dzīvnieku gadu
"Gobzems nometis visas maskas - šobrīd Saeimā ļoti aktīvi uzstājas un balso pret pāreju uz izglītību latviešu valodā visās skolās. Viņš ir ne tikai rupjš populists, bet arī nodevējs. Viss. Brauc uz savu Spāniju.",-1,gobzems nometis visas maskas šobrīd saeimā ļoti aktīvi uzstājas balso pāreju izglītību latviešu valodā visās skolās viņš rupjš populists nodevējs viss brauc savu spāniju
"Šodien Saeimas komisijā atbalstīja manus un NA priekšlikumus, kuri teju pilnībā apturēs Krievijas pilsoņu iespējas ieceļot Latvijā (pamata izņēmums - ģimenes apvienošana). Daudziem, kuri šobrīd ir Latvijā - būs jādodas prom. Rīt noslēdzošais balsojums Saeimā.",0,šodien saeimas komisijā atbalstīja manus na priekšlikumus kuri teju pilnībā apturēs krievijas pilsoņu iespējas ieceļot latvijā pamata izņēmums ģimenes apvienošana daudziem kuri šobrīd latvijā jādodas prom rīt noslēdzošais balsojums saeimā
"Latvijas Republikas Saeima gala lasījumā atbalstīja priekšlikumus, ka tiks pārskatītas visas izsniegtās uzturēšanās atļaujas Krievijas Federācijas pilsoņiem. Daudziem būs jāatstāj Latvija! Jo vairāk noziegumus Putins pastrādā, jo sliktāka kļūs dzīve Krievijas pilsoņiem.",0,latvijas republikas saeima gala lasījumā atbalstīja priekšlikumus pārskatītas visas izsniegtās uzturēšanās atļaujas krievijas federācijas pilsoņiem daudziem jāatstāj latvija vairāk noziegumus putins pastrādā sliktāka dzīve krievijas pilsoņiem
"""Jūlijas Stepeņenko vīrs, biedrs Vjačeslavs Stepaņenko no Suverēnās Varas (mēģina tikt Saeimā) arī ir gatavs mobilizācijai. Vai laidīsiet viņu palīgā orkiem, @StepanenkoJulij ? Putins sauc!""",-1,jūlijas stepeņenko vīrs biedrs vjačeslavs stepaņenko suverēnās varas mēģina saeimā gatavs mobilizācijai laidīsiet viņu palīgā orkiem putins sauc
"""Ja kādam interesē mans viedoklis, par labākajām vēlēšanu izvēlēm šogad uzskatu: - Jauno Vienotību - Konservatīvos - Progresīvos. Pats balsošu par JKP, bet tas tikai tādēļ, ka jebkura koalīcija bez viņiem Saeimā droši vien būs ar ZZS/ Apvienoto Sarakstu. FB uzrakstīju sīkāk.""",0,kādam interesē mans viedoklis labākajām vēlēšanu izvēlēm šogad uzskatu jauno vienotību konservatīvos progresīvos pats balsošu jkp tas jebkura koalīcija viņiem saeimā zzs apvienoto sarakstu fb uzrakstīju sīkāk
"Manuprāt nepelnīti maz uzmanības pievērsts Saskaņas deputātu, Nemiro(LPV) uc nebalsošanai par Krievijas rīkoto pseido referendumu neatzīšanu. Šī ir tā reize, kad gribētu dzirdēt katra skaidrojumu. Arī to, kas vakar Saeimā vispār nebija klāt(?). Saskaņas gadījumā īpaši no Cileviča",-1,manuprāt nepelnīti maz uzmanības pievērsts saskaņas deputātu nemiro lpv uc nebalsošanai krievijas rīkoto pseido referendumu neatzīšanu šī reize kad gribētu dzirdēt katra skaidrojumu to kas vakar saeimā vispār nebija klāt saskaņas gadījumā īpaši cileviča
"""Tikko Saeima pieņēma Lēmumu """"Par Krievijas Federācijas organizētajiem referendumiem okupētajās Ukrainas teritorijās"""". Saskaņa nebalsoja. Viņiem ir pieņemama Krievijas aneksijas politika okupētajās Ukrainas teritorijās.""",-1,saeima pieņēma lēmumu krievijas federācijas organizētajiem referendumiem okupētajās ukrainas teritorijās saskaņa nebalsoja viņiem pieņemama krievijas aneksijas politika okupētajās ukrainas teritorijās
"Latvija nedrīkst atvērt robežu Krievijas pilsoņiem, kas gribētu ieceļot, pamatojoties uz izsludināto mobilizāciju. Tā ir un būs stingra Nacionālās apvienības pozīcija valdībā.",0,latvija nedrīkst atvērt robežu krievijas pilsoņiem kas gribētu ieceļot pamatojoties izsludināto mobilizāciju stingra nacionālās apvienības pozīcija valdībā
"""varbūt kāds var paskaidrot: kāpēc Latvijas valsts ienaidnieki ne tikai draud LR pilsoņiem un ieņirdz par valsti, bet arī pretendē uz iekļūšanu Saeimā? piemēram, politkopas """"Stabilitātei"""" vadītājs Rosļikovs&Co. viņu jau sen vajadzēja izmest no LR. kāpēc klusē @Valsts_drosiba?""",-1,varbūt kāds paskaidrot kāpēc latvijas valsts ienaidnieki draud lr pilsoņiem ieņirdz valsti pretendē iekļūšanu saeimā piemēram politkopas stabilitātei vadītājs rosļikovs co viņu sen vajadzēja izmest lr kāpēc klusē drosiba
"Šodien Saeima apturēja virkni starpvalstu līgumu ar Baltkrieviju. Saskaņa nebalsoja. Tas is viss, kas jāzina par Saskaņas patieso attieksmi pret Krievijas noziegumiem Ukrainā.",-1,šodien saeima apturēja virkni starpvalstu līgumu baltkrieviju saskaņa nebalsoja tas is viss kas jāzina saskaņas patieso attieksmi krievijas noziegumiem ukrainā
"""🇱🇻Vēsturisks balsojums - Saeima galīgajā lasījumā atbalstījusi skolu pāreju uz mācībām tikai valsts valodā. #VienāValodā""",1,vēsturisks balsojums saeima galīgajā lasījumā atbalstījusi skolu pāreju mācībām valsts valodā
"""Ir tāds Andrejs Pagors no LKS, kurš debatēs nespēj Krieviju nosaukt par agresoru, sveic VDV dienā, ir pret okupācijas pieminekļu nojaukšanu, pret ārējās aizsardzības stiprināšanu, par 🇷🇺 valodas atstāšanu mācībās u.t.t. Mēģina tikt šogad Saeimā, bet īstā vieta būtu mobilizācijā.""",-1,tāds andrejs pagors lks kurš debatēs nespēj krieviju nosaukt agresoru sveic vdv dienā okupācijas pieminekļu nojaukšanu ārējās aizsardzības stiprināšanu valodas atstāšanu mācībās u t t mēģina šogad saeimā īstā vieta būtu mobilizācijā
"""Ļoti negribu, lai APAR iekļūtu Saeimā. Tomēr """"piesieties"""" nelatvietei par to, ka viņa raksta un runā atzīstamā latviešu valodā, bet gadās kļūda, nevajag. Nedarīsim tā. Latviešu garumzīmes ir liels izaicinājums krievvalodīgajiem. Var gadīties kļūda. Arī latviešiem gadās.""",0,ļoti negribu apar iekļūtu saeimā piesieties nelatvietei to viņa raksta runā atzīstamā latviešu valodā gadās kļūda nevajag nedarīsim latviešu garumzīmes liels izaicinājums krievvalodīgajiem gadīties kļūda latviešiem gadās
"""Īsais kopsavilkums """" Ko es izdarīju Saeimā 4 gados?!"""" - """"Uzbrēcu Iesalniekam!""""""",-1,īsais kopsavilkums ko es izdarīju saeimā gados uzbrēcu iesalniekam
""".@AttistibaiPar īstā seja - Saeimā atbalstīt normu, kas pieļaus turpināt mācīties valsts valodā """"uz papīra"""", bet gadījumos, ja konstatēs, ka latviešu valoda netiek lietota, būs aizbildinājums """"pedagoģiski adaptīvais atbalsts"""".""",-1,īstā seja saeimā atbalstīt normu kas pieļaus turpināt mācīties valsts valodā papīra gadījumos konstatēs latviešu valoda netiek lietota aizbildinājums pedagoģiski adaptīvais atbalsts
Šiem krievu rašistiem nav vietas mūsu Saeimā. Kā domā tu?,-1,šiem krievu rašistiem nav vietas mūsu saeimā domā tu
"""Lai izskaustu divvalodību un novērstu krievu valodas dominanci, mēs virzām likumprojektu, kas nodrošinās latviešu valodas kā vienīgās valsts valodas lietojumu publiskajā telpā un darba vidē. ❗️Ceru, ka 13.Saeima to pieņems tās pilnvaru laikā.""",1,izskaustu divvalodību novērstu krievu valodas dominanci mēs virzām likumprojektu kas nodrošinās latviešu valodas vienīgās valsts valodas lietojumu publiskajā telpā darba vidē ceru saeima to pieņems tās pilnvaru laikā
"""Šodien vēl viens vēsturisks balsojums - Saeima galīgajā lasījumā atbalstīja pāreju uz mācībām latviešu valodā visās skolās, visās klašu grupās. 2011. gada maijā par to parakstījās 120'433 Latvijas pilsoņu. Apsveicu katru no Jums! Beidzot jūsu paustā griba būs īstenojusies.""",1,šodien vēl viens vēsturisks balsojums saeima galīgajā lasījumā atbalstīja pāreju mācībām latviešu valodā visās skolās visās klašu grupās gada maijā to parakstījās latvijas pilsoņu apsveicu katru jums beidzot jūsu paustā griba īstenojusies
"Esam demokrātija, jeb tautai pieder vara. Vēlos atvainoties, ka arī manis dēļ, šajā Saeimā tika A/Par. Mana atbildība, ka pie varas ir partija, kura ignorē un apsaukā nacionālo vērtību aizstāvjus un tagad izvērš bērnišķīgu komunikāciju pret partiju, par kuru balsošu šogad.",-1,demokrātija tautai pieder vara vēlos atvainoties manis šajā saeimā a mana atbildība varas partija kura ignorē apsaukā nacionālo vērtību aizstāvjus tagad izvērš bērnišķīgu komunikāciju partiju kuru balsošu šogad
"Latvijas nepilsoņiem anulēs ieroču atļaujas, lemj Saeima delfi.lv/news/national/polit…",0,latvijas nepilsoņiem anulēs ieroču atļaujas lemj saeima
