text,label,cleaned_text
"🎉 VĒSTURISKA UZVARA!Šodien Saeima ar 70 balsīm PAR pieņēma zvēraudzēšanas aizliegumu, kas nosaka, ka pilnībā jāizbeidz dzīvnieku audzēšana kažokādām līdz 2028. gada 1. janvārim. Šie ir ietekmīgākie likuma grozījumi, kas aiztaupīs ciešanas simtiem tūkstošiem dzīvnieku ik gadu.",1,vēsturisks uzvara šodien saeima balss pieņemt zvēraudzēšanas aizliegums kas nosacīt pilnība izbeigt dzīvnieks audzēt kažokāda gads janvāris šis ietekmīgs likums grozījums kas aiztaupīt ciest simts tūkt dzīvnieks gads
"Gobzems nometis visas maskas - šobrīd Saeimā ļoti aktīvi uzstājas un balso pret pāreju uz izglītību latviešu valodā visās skolās. Viņš ir ne tikai rupjš populists, bet arī nodevējs. Viss. Brauc uz savu Spāniju.",-1,gobzems nomest viss maska šobrīd saeima ļoti aktīvs uzstāt balsot pāriet izglītība latvietis valoda viss skola viņš rupjš populists nodevējs viss braukt savs spānija
"Šodien Saeimas komisijā atbalstīja manus un NA priekšlikumus, kuri teju pilnībā apturēs Krievijas pilsoņu iespējas ieceļot Latvijā (pamata izņēmums - ģimenes apvienošana). Daudziem, kuri šobrīd ir Latvijā - būs jādodas prom. Rīt noslēdzošais balsojums Saeimā.",0,šodien saeima komisija atbalstīt mans na priekšlikums kurš teju pilnība apture krievija pilsone iespēja iecelt latvija pamats izņēmums ģimene apvienot daudzi kurš šobrīd latvija dot prom rīts noslēgt balsojums saeima
"Latvijas Republikas Saeima gala lasījumā atbalstīja priekšlikumus, ka tiks pārskatītas visas izsniegtās uzturēšanās atļaujas Krievijas Federācijas pilsoņiem. Daudziem būs jāatstāj Latvija! Jo vairāk noziegumus Putins pastrādā, jo sliktāka kļūs dzīve Krievijas pilsoņiem.",0,latvija republika saeima gals lasījums atbalstīt priekšlikums pārskatīt viss izsniegt uzturēt atļauja krievija federācija pilsonis daudzi atstāt latvija vairāk noziegums putins pastrādāt slikts dzīve krievija pilsonis
"""Jūlijas Stepeņenko vīrs, biedrs Vjačeslavs Stepaņenko no Suverēnās Varas (mēģina tikt Saeimā) arī ir gatavs mobilizācijai. Vai laidīsiet viņu palīgā orkiem, @StepanenkoJulij ? Putins sauc!""",-1,jūlija stepeņenko vīrs biedrs vjačeslavs stepaņenko suverēns vara mēģināt saeima gatavs mobilizācija laist viņš palīgs orkiem putins saukt
"""Ja kādam interesē mans viedoklis, par labākajām vēlēšanu izvēlēm šogad uzskatu: - Jauno Vienotību - Konservatīvos - Progresīvos. Pats balsošu par JKP, bet tas tikai tādēļ, ka jebkura koalīcija bez viņiem Saeimā droši vien būs ar ZZS/ Apvienoto Sarakstu. FB uzrakstīju sīkāk.""",0,kāds interese mans viedoklis labs vēlēšanas izvēle šogad uzskatīt jauns vienotība konservatīvs progresīvs pats balsot jkp tas jebkura koalīcija viņš saeima zzs apvienot saraksts fb uzrakstīt sīks
"Manuprāt nepelnīti maz uzmanības pievērsts Saskaņas deputātu, Nemiro(LPV) uc nebalsošanai par Krievijas rīkoto pseido referendumu neatzīšanu. Šī ir tā reize, kad gribētu dzirdēt katra skaidrojumu. Arī to, kas vakar Saeimā vispār nebija klāt(?). Saskaņas gadījumā īpaši no Cileviča",-1,manuprāt pelnīt maz uzmanība pievērst saskaņa deputāts nemiro lpv uc balsot krievija rīkot pseido referendums atzīt šis reize kad gribēt dzirdēt katra skaidrojums tas kas vakars saeima vispār būt klāt saskaņa gadījums īpašs cileviča
"""Tikko Saeima pieņēma Lēmumu """"Par Krievijas Federācijas organizētajiem referendumiem okupētajās Ukrainas teritorijās"""". Saskaņa nebalsoja. Viņiem ir pieņemama Krievijas aneksijas politika okupētajās Ukrainas teritorijās.""",-1,saeima pieņemt lēmums krievija federācija organizēt referendums okupēt ukraina teritorija saskaņa balsot viņš pieņemt krievija aneksija politika okupēt ukraina teritorija
"Latvija nedrīkst atvērt robežu Krievijas pilsoņiem, kas gribētu ieceļot, pamatojoties uz izsludināto mobilizāciju. Tā ir un būs stingra Nacionālās apvienības pozīcija valdībā.",0,latvija drīkstēt atvērt robeža krievija pilsonis kas gribēt iecelt pamatot izsludināt mobilizācija stingrs nacionāls apvienība pozīcija valdība
"""varbūt kāds var paskaidrot: kāpēc Latvijas valsts ienaidnieki ne tikai draud LR pilsoņiem un ieņirdz par valsti, bet arī pretendē uz iekļūšanu Saeimā? piemēram, politkopas """"Stabilitātei"""" vadītājs Rosļikovs&Co. viņu jau sen vajadzēja izmest no LR. kāpēc klusē @Valsts_drosiba?""",-1,varbūt kāds paskaidrot kāpēc latvija valsts ienaidnieks drauds lr pilsonis ieņirgt valsts pretendēt iekļūt saeima piemērs politkopas stabilitāte vadītājs rosļikovs co viņš sen vajadzēja izmest lr kāpēc klusēt drosiba
"Šodien Saeima apturēja virkni starpvalstu līgumu ar Baltkrieviju. Saskaņa nebalsoja. Tas is viss, kas jāzina par Saskaņas patieso attieksmi pret Krievijas noziegumiem Ukrainā.",-1,šodien saeima apturēt virkne starpvalsts līgums baltkrievija saskaņa balsot tas is viss kas zināt saskaņa patiess attieksme krievija noziegums ukraina
"""🇱🇻Vēsturisks balsojums - Saeima galīgajā lasījumā atbalstījusi skolu pāreju uz mācībām tikai valsts valodā. #VienāValodā""",1,vēsturisks balsojums saeima galīgs lasījums atbalstīt skola pāriet mācība valsts valoda
"""Ir tāds Andrejs Pagors no LKS, kurš debatēs nespēj Krieviju nosaukt par agresoru, sveic VDV dienā, ir pret okupācijas pieminekļu nojaukšanu, pret ārējās aizsardzības stiprināšanu, par 🇷🇺 valodas atstāšanu mācībās u.t.t. Mēģina tikt šogad Saeimā, bet īstā vieta būtu mobilizācijā.""",-1,tāds andrejs pagors lks kurš debates spēt krievija nosaukt agresors sveikt vdv diena okupācija piemineklis nojaukt ārējs aizsardzība stiprināt valoda atstāt mācība u t t mēģināt šogad saeima īsts vieta būtu mobilizācija
"""Ļoti negribu, lai APAR iekļūtu Saeimā. Tomēr """"piesieties"""" nelatvietei par to, ka viņa raksta un runā atzīstamā latviešu valodā, bet gadās kļūda, nevajag. Nedarīsim tā. Latviešu garumzīmes ir liels izaicinājums krievvalodīgajiem. Var gadīties kļūda. Arī latviešiem gadās.""",0,ļoti griba apart iekļūt saeima piesiet latvietis tas viņš rakstīt runa atzīt latvietis valoda gadīties kļūda vajag darīt latvietis garumzīme liels izaicinājums krievvalodīgs gadīties kļūda latvietis gadīties
"""Īsais kopsavilkums """" Ko es izdarīju Saeimā 4 gados?!"""" - """"Uzbrēcu Iesalniekam!""""""",-1,īss kopsavilkums ko es izdarīt saeima gadīties uzbrēkt iesalniekam
""".@AttistibaiPar īstā seja - Saeimā atbalstīt normu, kas pieļaus turpināt mācīties valsts valodā """"uz papīra"""", bet gadījumos, ja konstatēs, ka latviešu valoda netiek lietota, būs aizbildinājums """"pedagoģiski adaptīvais atbalsts"""".""",-1,īsts seja saeima atbalstīt norma kas pieļaut turpināt mācīt valsts valoda papīrs gadījums konstatēt latvietis valoda tikt lietot aizbildinājums pedagoģisks adaptīvs atbalsts
Šiem krievu rašistiem nav vietas mūsu Saeimā. Kā domā tu?,-1,šis krievs rašistiem nav vieta mēs saeima doma tu
"""Lai izskaustu divvalodību un novērstu krievu valodas dominanci, mēs virzām likumprojektu, kas nodrošinās latviešu valodas kā vienīgās valsts valodas lietojumu publiskajā telpā un darba vidē. ❗️Ceru, ka 13.Saeima to pieņems tās pilnvaru laikā.""",1,izskaust divvalodība novērst krievs valoda dominance mēs virzīt likumprojekts kas nodrošināt latvietis valoda vienīgs valsts valoda lietojums publisks telpa darbs vide cers saeima tas pieņemt tas pilnvara laiks
"""Šodien vēl viens vēsturisks balsojums - Saeima galīgajā lasījumā atbalstīja pāreju uz mācībām latviešu valodā visās skolās, visās klašu grupās. 2011. gada maijā par to parakstījās 120'433 Latvijas pilsoņu. Apsveicu katru no Jums! Beidzot jūsu paustā griba būs īstenojusies.""",1,šodien vēlēt viens vēsturisks balsojums saeima galīgs lasījums atbalstīt pāriet mācība latvietis valoda viss skola viss klase grupa gads maija tas parakstīt latvija pilsone apsveikt katra jums beigt jūs paust griba īstenot
"Esam demokrātija, jeb tautai pieder vara. Vēlos atvainoties, ka arī manis dēļ, šajā Saeimā tika A/Par. Mana atbildība, ka pie varas ir partija, kura ignorē un apsaukā nacionālo vērtību aizstāvjus un tagad izvērš bērnišķīgu komunikāciju pret partiju, par kuru balsošu šogad.",-1,demokrātija tauta piederēt vara velt atvainot es šis saeima a mana atbildība vara partija kura ignorēt apsaukāt nacionāls vērtība aizstāvis tagad izvērst bērnišķīgs komunikācija partija kurt balsot šogad
"Latvijas nepilsoņiem anulēs ieroču atļaujas, lemj Saeima delfi.lv/news/national/polit…",0,latvija pilsonis anulēt ierocis atļauja lemt saeima
"""Twitter evolūcija: 1 labs tvīts par jomu kurā specializējies Vēl pieci labi tvīti Pēkšņi tu esi speciālists visās jomās Tu kļūsti apnicīgs/a un vīzdegunīgs/a Tu ietvīto savu konta numuru Tu pataisi kontu par privātu Tev pietrūkst uzmanības, noņem privātumu Tu kandidē Saeimā""",-1,twitter evolūcija labs tvīts joma kura specializēt vēlēt pieci labs tvīti pēkšņs tu speciālists viss joma tu apnicīgs a vīzdegunīgs a tu ietvīto savs konts numurs tu pataisīt konts privāts tu pietrūkt uzmanība noņemt privātums tu kandidēt saeima
"Saeima atbalstīja likumu ar maniem un NA priekšlikumiem, kuri teju pilnībā apturēs Krievijas pilsoņu iespējas ieceļot Latvijā. Daudziem, kuri šobrīd ir Latvijā - būs jādodas prom.",1,saeima atbalstīt likums mans na priekšlikums kurš teju pilnība apture krievija pilsone iespēja iecelt latvija daudzi kurš šobrīd latvija dot prom
"Izcila Evas Mārtužas runa! Latviskums ir mūsu valsts augstākā vērtība. Tajā pašā laikā saskaņas vatņikiem nav kauna pārkliegt runātāju. Tiem, kas ir pret latvisku Latviju nav vietas mūsu Saeimā! Nav vietas Latvijā! Saules mūžu Latvijai!",1,izcils eva mārtužas runa latviskums mēs valsts augsts vērtība tas pats laiks saskaņa vatņikiem nav kauns pārkliegt runātājs tas kas latvisks latvija nav vieta mēs saeima nav vieta latvija saule mūžs latvija
"""Izskatot grozījumus Imigrācijas likumā, tikko Nacionālajai apvienībai Saeimā izdevās izmest Krievijas pilsoņus no t.s. """"nomadu vīzu"""" saņēmēju loka.""",1,izskatīt grozījums imigrācija likums nacionāls apvienība saeima izdot izmest krievija pilsonis t s nomads vīza saņēmēja locīt
"Ja galīgi nevari nolemt, par ko balsot- nepaliec mājās! Balso ar tukšu aploksni! Tāda balss paceļ proctuālo latiņu, kas partijām jāpārvar, lai tiktu Saeimā!",-1,galīgs varēt nolemt ko balsot palikt māja balsot tukšs aploksne tāds balss pacelt proctuālo lata kas partija pārvarēt tikt saeima
"Gobzems Saeimā balso pret pāreju uz izglītību latviešu valodā visās skolās un aicina uz daudzvalodību Latvijā. Nez vai viņš ir dzirdējis, ka tauta jau nobalsoja referendumā par vienīgo valsts valodu-latviešu?Nez ko Gobzems tagad pārstāv? Varbūt vati?",-1,gobzems saeima balsot pāriet izglītība latvietis valoda viss skola aicināt daudzvalodība latvija nez viņš dzirdēt tauta nobalsot referendums vienīgs valsts valoda latvietis nez ko gobzems tagad pārstāvēt varbūt vats
